Title,Ingredients,Steps
Daging sapi lada hitam simple,1/2 kg Daging sapi--1 Paprika merah--1 Paprika hijau--2 Cabai merah besar--1 Bawang bombay--3 siung Bawang putih--1 sdm Kecap--1/2 sdm Kecap asin--secukupnya Royco sapi--3 sdm Lada hitam--secukupnya Minyak goreng--secukupnya Garam--secukupnya Vitsin--Air setengah cup aqua gelas--,Untuk hidangan aku kali ini pake daging yg direbus terlebih dahulu. Kalau sdh empuk sisihkan.--Daging yg sudah empuk lalu dipotong tipis tapi agak melebar -+ 4cm an.. lalu aku gepuk biar bumbu meresap.--Siapkan wajan untuk menumis. Tumis bawang putih cincang dan bawang bombay hingga harum. Masukkan paprika yg sdh dipotong dadu dan cabai merah besar. Aduk rata--Masukkan air dan kecap manis dan asin. Aduk lagi.. masukkan lada hitam dan bumbu secukupnya..--Lalu masukkan daging.. diamkan 2 menit dengan ditutup wajannya. Test rasa. Angkat dan sajikan..--
Empal serundeng daging sapi,"1 kilo daging sapi--3 lembar daun salam--3 lembar daun jeruk--1 sdm asam jawa, rendam pakai 50ml air--1/2 butir kelapa muda parut--1 ruas jahe digeprek--1 liter air untuk merebus daging--Bumbu Halus--5 buah cabe keriting--10 buah bawang putih--1 sdt ketumbar--1/2 sdt jinten--3 ruas lengkuas--1 ruas jahe--2 batang serai--1 sdm garam--2 sdm gula merah (saya pakai 1 bulet kecil)--","Rebus daging dengan air, daun salam, jahe geprek sampai empuk--Setelah empuk, potong2 sesuai serat lalu digepuk/geprek sampai tipis.--Campur bumbu halus, daging, daun jeruk dan air asam jawa. Remas2 dan diamkan selama 30 menit--Pindahkan ke dalam wajan, tuang 300ml air kaldu bekas merebus daging tadi. Masak dengan api kecil sambil diaduk terus.--Setelah air menyusut, masukkan kelapa muda parut. Aduk terus sampai benar2 kering.--Empal serundeng siap untuk disantap--"
Cah kangkung sapi,2 ikat kangkung--300 gr daging sapi--1 gelas kecil air--Bumbu--2 siung bawang putih--3 siung bawang merah--10 biji cabai (sesuai selera aja ya)--2 sendok makan kecap manis--Lengkuas--Daun salam--Garam--Minyak--,"Rebus daging kemudian potong tipis2 saja--Potong2 kangkung sesuai selera lalu cuci bersih--Iris semua bumbu kemudian panaskan minyak,tumis sampai agak layu--Masukkan daging yg sudah di iris tipis lalu beri air,tunggu hingga mendidih masukkan kangkung--Aduk2 hingga kangkung agak layu msukkan kecap,garam lalu cek rasa tunggu hingga kangkung matang dan matikan api--Cah kangkung sapi siap di hidangkan,ini sengaja kuahnya banyak ya...--Selamat mencoba--"
Tumis kulit sapi,1/4 kulit sapi--3 siung bawang merah--2 siung bawang putih--1 ruas jahe--1 ruas kunyit--2 butir kemiri--1 sendok garam--1 sendok penyedap rasa--1/2 sendok gula pasir--1 sendok merica bubuk--2 lembar daun salam--2 lembar daun jeruk--2 buah cabe ijo--2 buah cabe merah--1 buah tomat hijau--,"Cuci bersih kulit sapi lalu rebus sebentar buang air nya--Haluskan bumbu bawang merah,bawang putih,kunyit,jahe,kemiri,garam,merica--Iris tipis bawang daun,cabe merah,cabe hijau dan tomat--Tumis bumbu halus hingga harum kemudian masukan bahan yg telah di iris tambahkan air secukup nya kemudian masukan kulit sapi tambahkan penyedap rasa--Tunggu sampai air larut kemudian test rasa 😁 selamat mencoba--"
Tongseng Sapi Empuk,500 gr daging sapi (potong kecil)--1 buah bawang bombai (iris tipis bentuk setengah lingkaran)--2 L air--3 sdm minyak untuk menumis--Bahan Blender:--10 siung bawang merah--5 siung bawang putih--5 cm jahe--1 sdt ketumbar--6 buah kemiri--1 sdt kunyit bubuk (atau 3cm kunyit segar)--Bahan Penyedap:--2 buah sereh--5 lembar daun jeruk--3 lembar daun salam--3 buah cabai rawit (tusuk bagian tengah atau iris)--1 sdt kaldu sapi bubuk--Secukupnya garam--Bahan Topping (per porsi):--3 lembar daun kobis (iris tipis)--1 buah tomat ukuran kecil (potong tebal)--3 lembar daun bawang (iris tebal memanjang--1 sdm kecap manis--Bawang goreng untuk taburan (opsional)--,"Di panci besar, panaskan minyak. Tumis bawang bombai hingga layu. Masukkan “bumbu blender”, tumis hingga kental.--Masukkan daging sapi. Tumis hingga daging setengah matang (daging berubah warna dari merah menjadi coklat).--Masukkan air dan “bumbu penyedap” (kecuali garam). Aduk rata. Biarkan mendidih. Setelah mendidih, tutup panci. Rebus hingga air menyusut menjadi setengah lebih.--Cicipi air kaldu. Jika kurang asin, tambahkan garam sesuai selera. Matikan api. Kaldu tongseng sudah jadi.--Jika akan menyajikan per porsi, panaskan wajan terpisah. Masukkan sekitar 1 centong daging dan 2 centong kuah. Panaskan hingga mendidih. Masukkan kubis. Aduk hingga kubis layu. Beri kecap manis. Aduk rata. Terakhir, matikan api, lalu masukkan irisan tomat dan daun bawang. Sajikan di piring cekung. Taburi dengan bawang goreng (opsional).--"
Asem Pedes Iga Sapi,500 gr Iga Sapi--2 liter Air Bersih--7 siung Bawang Putih--10 siung Bawang Merah--3 ruas jari Kunyit--2 ruas jari Lengkuas--2 ruas jari Jahe--5 lembar Daun Jeruk--2 batang Sereh--3 biji Cabai Merah Besar--10-15 biji Cabai Rawit--1 sdt Merica Bubuk--3 buah Tomat / Blimbing Wuluh--Gula--Garam--Penyedap Rasa--,"Masak air sampai mendidih, rebus iga sambil sesekali dibuanh buih nya yg berwarna coklat (supaya tidak bau). Masak hingga cukup empuk, matikan api.--Iris-iris bawang putih, bawang merah, kunyit, lengkuas, jahe, cabai merah dan cabai rawit--Panaskan minyak, masukkan sereh dan daun jeruk. Lalu masukkan bawang merah, bawang putih, kunyit, lengkuas dan jahe masak sampai harum--Masukkan cabai merah dan cabai rawit masak sampai layu--Masukkan tumisan bumbu kedalam rebusan iga sapi tadi, tambahkan merica bubuk, garam, gula dan penyedap rasa.--Masak hingga daging empuk, terakhir masukkan tomat yang masing-masing sudah dipotong menjadi 4 bagian. Masak sebentar lalu matikan api--Asam pedas iga sapi siap disajikan--"
Rendang daging sapi istimewa,"1 kg daging sapi, iris memotong serat--2 bh kentang, kupas potong dadu--1 liter santan encer--1 liter santan kental--5 sdm kelapa parut sangrai, haluskan--Bumbu halus :--10 siung bawang merah--15 siung bawang putih--5 cm kunyit, kupas--3 cm jahe, kupas--1 ggm cabe kering, rendam--6 bh cengkeh--1 sdm ketumbar--8 bj kemiri--Bumbu utuh :--5 cm lengkuas, kupas geprek--2 btg serai, ambil tengahnya geprek--3 bh bunga lawang--2 lbr daun salam--2 lbr daun jeruk--1 bh gula merah--2 sdm gula pasir--1 sdm garam--1 sdm masako sapi--",Masak daging sapi dg santan encer sampai menyusut--Haluskan bumbu lalu masukan ke rebusan daging sapi bersama bumbu utuh--Aduk terus agar bumbu tercampur rata--Masukan kelapa parut sangrai dan gula garam masako. Aduk lagi--Saat santan mulai menyusut lagi masukan santan kental n kentang.--Masak sampai benar2 menyusut dan mengeluarkan minyak--Selamat mencoba bunda..--
Batagor (Bakso Tahu Goreng) ala rumahan anti gagal,Bahan batagor--3 kotak ukuran kecil tahu kuning--5 sdm tepung terigu--1/2 sdm mentega (supaya kriuk2)--2 buah bawang putih--Garam (secukupnya)--Merica (secukupnya)--Air putih matang (secukupnya)--Bahan saus--2 sdm saus cabe (saya pake indofo**)--1/2 siung bawang putih--2 cabe rawit (sesuai selera ya karna suami saya gak suka pedas)--Kecap (secukupnya)--Air matang (secukupnya)--,"Haluskan tahu kuning, bawang putih, garam merica (hingga lumat)--Tambahkan mentega, tepung terigu kedalam adonan tahu dan beri air hingga lembek tapi jangan sampai encer ya. Koreksi rasa--Siapkan wajan dengan minyak, goreng adonan yang telah dibuat. (Saya pake 2 sendok buat bikin kecil2). Angkat dan tata di mangkuk.--Haluskan bawang putih, cabai rawit--Tumis bawang putih dan cabai yang sudah di haluskan hingga harus.--Masukkan saus, kecap, garam. Koreksi rasa--Batagor dan sausnya siap untuk dinikmati 🤤--"
Sayur Sutace (sop tahu ceker),1/2 kg ceker ayam--4 buah wortel ukuran sedang--6 buah wortel--sesuai selera Kol--sesuai selera Daun bawang--sesuai selera Seledri--4 buah tahu kuning--Garam--Gula putih--Penyedap rasa (ma**ko)--Lada bubuk--Jeruk nipis--2 siung Bawang Putih--2 siung Bawang merah--,"Bersihkan ceker, lau rebut selama 3-4 menit pakai jeruk nipis biar gk terlalu bau--Tiriskan ceker--Potong2 tahu, lalu goreng set mateng, tiriskan--Potong2 sayurr, cuci hingga bersihh.--Haluskan bawang merah dan bawang putih.--Panaskan sedikit minyak masukan bawang yg sudah di haluskan, oseng2 hingga tercium wangi--Masukan sayurr, tampahkan air, garam, gula putih dan penyedap rasa secukupnya.--Tunggu hingga sayur hampir matang, masukan ceker, dan tahu.--Tutup wajan hingga kaldu meresap kedalam ceker dan tahu.--Setelah matang, tuang ke mangkok, siap di santappp 😊😊--"
Perkedel Tahu Wortel Sederhana,1 bks tahu putih--1 batang wortel (potong kecil-kecil)--1/2 bks Masako ayam--secukupnya Lada bubuk--1 btr telur ayam (kocok)--2 sdm terigu--Minyak untuk menggoreng--,"Hancurkan tahu dalam baskom--Campurkan wortel yang telah di potong-potong, lada bubuk, masako, telur dan terigu--Uleni hingga semua tercampur--Ambil menggunakan sendok makan, masukkan ke dalam minyak panas, goreng hingga berwarna kecoklatan.--"
Kari tahu telur kentang,"4 butir telur rebus--4 buah tahu, potong 8 bagian lalu goreng berkulit--2 buah kentang, potong 4 bagian--1 bks santan kara ukuran kecil--1000 ml air / kaldu--5 buah cengek utuh (tambahan dari saya)--Haluskan :--1 buah cabe merah buang biji--5 siung bawang merah--2 siung bawang putih--1 sdm bumbu kari instant--2 butir kemiri--1/4 sdt ketumbar--1/2 sdt merica bubuk--1/8 sdt pala bubuk--2 ruas jari kunyit--Rempah cemplung--1 batang sereh, geprek--2 cm lengkuas--1 cm jahe--2 lembar daun jeruk--1 lembar daun salam--Secukupnya asam jawa--Garam / kaldu bubuk--Gula pasir--","Tumis bumbu halus dan rempah cemplung hingga harum dan matang--Masukan kentang. Aduk rata--Beri air. Setelah agak mendidih masukan telur, tahu dan rawit utuh--Bumbui garam dan gula pasir--Setelah didih, masukan santan, aduk sesekali--Angkat, sajikan dengan pelengkap--"
Nugget Tahu Ekonomis Anti Gagal,"5 buah tahu(1kg an) sy: sekitar 700g--1 butir telur--4 siung bawang putih, haluskan--1/2 bks ladaku--Secukupnya garam(sy: garam di skip)--2 bks royco sapi(sy: 1 bks)--2 buah wortel,kupas kulitnya, lalu parut--1 btg daun bawang, iris halus--Bahan pelapis:--Secukupnya telur, kocok lepas--Secukupnya tepung roti/panir/bread crumb--","Cuci tahu dan tiriskan. Agar saat digoreng tidak rapuh atau nyemek.--Haluskan tahu, lalu beri semua bumbu kecuali bahan pelapis. Aduk rata.(bisa koreksi rasa ketika telur belum ditambahkan, garam bisa disesuaikan karna setiap tahu ada yg asin dan tawar)--Oles cetakan dengan minyak sayur. Masukkan adonan tahu lalu kukus selama 35 menit atau sampai matang. Tutup kukusan dilapisi serbet agar air tidak menetes.--Setelah matang tunggu hingga dingin.--Setelah dingin potong2. Siapkan bahan pelapis. Celupkan ke telur lalu ke tepung roti lakukan sampai habis. Nugget bisa langsung digoreng atau disimpan di frezzer. Sebaiknya menyimpan nugget tidak ditumpuk apabila ditumpuk alasi dengan kertas minyak/kertas roti agar tidak lengket.--Goreng di api sedang. Lakukan satu balikan bila satu sisi sudah kering. Agar tidak menyerap banyak minyak.--Sajikan hangat dengan saus sambal😄. Lebih enak lagi bila ditambah keju dan kornet😍. Next time dicoba pakai keduanya😊.--"
Tahu Petis musim ujan,"1 sdm petis--2 bh cabe rawit,rajang--2 bwg pth,rajang halus--4 bwg mrh,rajang halus--Secukupnya garam--1/2 sdt maizena,larutkan dg 100 ml air--","Siapkan bahan2--Goreng tahu smp matang..sementara itu kita rajang halus bumbu/diuleg jg boleh..--Siapkan minyak dwajan ±3 sdm,masukkan bumbu & petis,aduk rata. Biarkan smp harum. Lalu masukkan larutan maizena,aduk lg.. Icip smp dpt rasa yg pas.. Sajikan dgn tahu goreng... Sedapp--Drpd beli dluar,mending bkin sndiri yuk,rempong sdkit gpp demi kluarga trsayang..--"
Sayur tahu jengkol,10 buah tahu kuning--1/4 jengkol--2 bungkus Santan kara--Garam--Kaldu bubuk--Gula putih--Daun salam--Bumbu halus :--6 siung bawang merah--5 siung bawang putih--8 buah cabe merah besar--5 butir kemiri--,"Bersihkan jengkol dan rebus sampai empuk. Jika sudah dingin geprek jengkol agar bumbu meresap.--Potong tahu bentuk segitiga dan goreng sampai matang. Klo saya cenderung agak kering kecoklatan.--Tumis bumbu halus sampai wangi dan matang. Masukan daun salam, tahu dan jengkol lalu beri air. Biarkan sampai mendidih!!!--Berikan santan kara dan garam, kaldu bubuk serta gula putih. Biarkan kuah agak menyusut agar bumbu meresap. Jangan lupa aduk aduk kuah agar santan tidak pecah. Terakhir tes rasa!!! Selamat mencoba.--"
Sapo Tahu No Seafood,"2 pcs Egg Tofu (potong2 ketebalan sesuai selera)--2 bonggol Brokoli (sy uk.kecil2, siangi, potong perkuntum)--1 bonggol Bunga Kol (sy uk.sedang, potong perkuntum)--1 bonggol Sawi putih (sy uk.kecil, potong2)--1-2 btg Wortel (iris bulat/serong terserah)--Secukupnya Jamur Kancing (bisa pake jamur kuping, iris2 sesuai selera)--1 helai Daun bawang iris2--5 btr Bakso ayam iris2 (bisa pake bakso lain/seafood/daging ayam cincang)--1 siung Bawang Bombay uk.sedang (potong wedges)--5 siung Bawang putih geprek, cincang--° Bumbu :--1 sdm penuh Saus Tiram (sy Saori)--1/2 sdt Garam (menyesuaikan selera)--1/2 sdt Gula pasir (menyesuaikan selera)--1/4 sdt Royco ayam (boleh gapake)--1/4 sdt Lada bubuk--1 sdm Kecap manis Bango (kalo sy wajib/rutinitas hihihi)--Secukupnya Air Kaldu (sy pake kuah bakso hihi)--","Goreng garing/sampai berkulit si tofu yaa. Sisihkan dulu.--Siapkan semua bahan. Sayuran dicuci semua. Bumbu2 juga dipersiapkan yaa. Kalo sy, wortel-brokoli-bunga kol-jamur kancing sy blansir sbentar (rendam air panas bentar, lalu ke air dingin spya lebih cpt ngolahny, warna sayurnya juga segerr) Yuk memasak..--Panaskan margarin/minyak scukupny, tumis bawang putih dan bombay hingga layu dan harum--Masukkan sawi putih (ngga sy blansir), daun bwang, tumis bentar.--Masukkan jamur, aduk rata--Tuang sesuai selera bbrp sendok sayur air kaldu/sy kuah bakso. Kurleb sy 2-3 sendok sayur. Didihkan. Msukkan sisa sayuran.--Bumbui saus tiram, gula garam, lada, kecap, royco bila perlu. Sampai rasa pas. (Kalo sy sblumnya dah gurih kena kuah bakso, jd tinggal ngoreksi)--Masukkan bakso iris, aduk rata--Terakhir masukkan tofu. Aduk perlahan. Masak sampai cukup matang. Dah... Siap!--Sapo tahunya siap dilahaaapp... Makan sapo nih enaknya sambil nikmatin hawa sejuk hujan ya moms. Mantap, anget2 gurih gitu hihi. Selamat makan :)--"
Tahu Bulat,20 bh Tahu putih--Minyak untuk menggoreng--Bumbu halus :--5 bh Bawang putih--1/2 sdt Merica--2 1/2 sdt Garam--sesuai selera Kaldu bubuk--,"Haluskan tahu dengan garpu.--Saring tahu dengan kain berpori halus, peras pelan pelan hingga kadar airnya berkurang banyak. Cara menyaring tahu begini sebaiknya sedikit sedikit dan memerasnya jangan terlalu kuat.--Setelah airnya di peras,campur tahu dengan bumbu halus, aduk rata. bentuk bulat.--Panaskan minyak dengan api sedang. Masukan tahu bulat, goreng hingga kuning kecokelatan.Sajikan hangat.--"
Tahu kuning lada garam,"1 bj tahu kuning (sy pakai merk yongfu)--1 bj cabe merah besar--1 bj cabe rawit (krg tahan pedas)--2 siung bawang putih, rajang--1 siung bawang merah, potong tipis2--Secukupnya garam, lada, kaldu jamur--","Panaskan minyak di teflon, goreng tahu hingga berubah warna. Stlh matang, tiriskan--Lalu tuang minyak sedikit di teflon, tumis bawang putih dan bawang merah hingga harum. Stlh itu masukkan cabe. Masukkan tahu goreng, aduk rata. Lalu tambahkan garam, merica dan kaldu jamur. Tes rasa. Sajikan--"
Pepes Tahu kekinian,2 tahu cina di hancurkan halus dengan garpu boleh menggunakan tahu putih apa saja tdk mesti tahu cina--3 batang bawang daun diiris 1 ruas jari--2 butir telor--Daun salam dimasukkan ke dalam tiap adonan pepes ketika membungkus--1 sdt gula pasir--1.5 sdt garam--1 sdt penyedap rasa jika suka--Bumbu halus diblender:--10 biji cabe rawit jawa--1 terasi ABC--5 siung bawang merah--3 siung bawang putih--2 batang serai diiris tipis--2 sdm minyak untuk menumis--,"Hancurkan Tahu dengan garpu lalu masukkan telor dan daun bawang. Sisihkan--Tumis bumbu halus lalu cicipi sampai rasa sesuai dengan lidah dan selera.. diamkan hingga dingin--Campur bumbu matang lalu masukkan ke dalam tahu yg sudah dihaluskan masukkan gula aduk rata. Jika rasa sudah sesuai lalu siapkan daun yg sudah dipotong potong rapi siap dipakai untuk membuat pepes tahu--Masukkan 1-2 sdm adonan tahu ke dalam daun masukkan daun salam 1 lembar lalu sematkan dengan rapi dengan tusuk gigi.. selasaikan adonan hingga habis--Setelah air mendidih kukus pepes selama 30 mnt lalu setelah matang sajikan hangat dengan nasi serta makanan sampingan lainnya.--Note: biasanya saya suka membuat bumbu dasar seperti resep diatas jadi jika saya ingin membuat olahan berbagai macam pepes saya tinggal menggunakan bumbu halus yg sudah ada,--Jika ingin membuat pepes ayam tinggal tambahkan jahe yg sudah dihaluskan dan irisan daun jeruk serta irisan tomat jika suka.. tambahkan 2 sdt kecap ikan diadonan.--"
Mung tahu',"1 papan tahu sutera--200 gr daging ayam--Daun bawang--B.putih--2 sdm tepung maizena larutkan d air--secukupnya Micin jamur, garam, gula, lada--","Tumis b.putih cincang, hingga harum. Masukan ayam lalu aduk"" sampai berubah warna--Potong""tahu sesuai selera, masukan bumbu"" seperti garam, gula, lada, masukan kedalam penggorengan, aduk"" kasih air sedikit masukan t.maizena tunggu sebentar masukN daun bawang, angkt--"
Sapo Tahu Brokoli,1 bungkus tahu telur--1 bonggol brokoli--2 buah wortel (iris tipis)--1/5 kol (lebih enak pakai sawi putih)--1 buah cabai merah besar--4 buah bakso sapi--4 buah bakso ikan (optional)--2 siung bawang putih--1/2 bawang bombay--1 ruas jahe (geprek)--1 sachet saus tiram (Saori)--1 sdm kecap asin--1 sdt gula pasir--1/2 sdt garam--1 sdt lada bubuk--1 sdm tepung maizena--1 gelas air putih--Minyak sayur--,"Cuci sayur dan bahan lainnya, rendam brokoli dalam air panas selama 30 detik--Cincang halus bawang putih, iris bawang bombay, bakso, wortel dan cabai merah--Potong lalu goreng tahu telur, setelah matang tiriskan--Tumis bawang putih, bawang bombay dan jahe sampai harum--Masukkan irisan wortel, tumis sebentar lalu tambahkan 1 gelas air--Setelah air mendidih dan wortel sedikit layu, masukkan saus tiram, kecap asin, gula, garam, lada--Koreksi rasa dan masukkan sisa bahan (kol, cabai merah, brokoli) campur rata--Diamkan kurang lebih 1 menit. Terakhir tambahkan larutan maizena--Aduk sampai kuah mengental lalu sajikan--"
Tahu isi Enak,5 bh tahu dibelah dua--1 bh bengkuang--1 bh wortel--1/2 bombay iris halus--4 siung bawang putih--150 gr udang cincang--tepung bumbu sajiku--secukupnya Garam Gula merica--Sambal cocolan:--2 siung bawang putih--1 bh cabe rawit merah--1 sdt saos cabe abc--2 sdm perasan air jeruk nipis/lemon--1/2 sdt gula--Sedikit air--,"Tunis Bombay Dan bawang Putih sampai harum, Masukkan Udang kemudian wortel Dan bengkuang yang Sudah di iris halus. Masukkan bumbu penyedap garam Gula America secukupnya.--Tambah kan air sedikit Dan masak sampai matang. Sisihkan.--Belah 2 tahu Dan goreng 1/2 matang. Angkat. Sisihkan.--Setelah tahu tidak terlalu panas. Belah tengah tahu untuk isian. Dan Isi tahu dengan tumisan wortel dan bengkuang tadi.--Buat adonan basah tepung sajiku dengan sedikit air. (Jangan terlalu kental).--Balur tahu Dalam adonan tepung kemudian goreng dengan minyak panas.--Siap dihidangkan dengan sambal cocolan.--"
Tahu cabe garam,3 potong tahu (iris kotak kecil)--1 butir telur--Secukupnya tepung bumbu serbaguna--2 siung bawang merah--3 siung bawang putih--4 biji cabe rawit (sesuai selera)--2 batang daun bawang (sy pke daun seledri krn cm itu yg ada 😅)--,"Lumuri tahu dengan kocokan telur kemudian balurkan pada tepung, goreng hingga kuning keemasan lalu tiriskan.--Tumis bawang putih, bawang merah dan cabe rawit hingga harum kemudian masukkan tahu yang telah digoreng.--Masukkan daun seledri, tambahkan garam, gula dan penyedap, aduk rata.--"
Tahu Cabe Garam,2 buah tahu putih (potong persegi kecil)--2 bks kecil tepung bumbu pedas serbaguna (mamaSuka)--1/4 cup Air ES--2 sdm terigu--secukupnya Minyak goreng--3 siung bawang putih (cincang)--2 buah bawang merah (cincang)--2 sdm irisan daun bawang--2 sdt garam--1 sdt kaldu bubuk--1 sdt margarine untuk tumis--10 buah cabai rawit merah (iris tipis)--5 buah cabai rawit hijau (iris tipis)--,"Larutkan 1 bks tepung bumbu+ 2 sdm terigu dengan 1/4cup air es (benar2 dingin)..--Panaskan minyak sampai benar2 panas, & ukur agar tahu terendam (deep fry)..--Tahu yg sudah di potong di celupkan ke larutan tepung, kemudian gulingkan ke tepung bumbu kering,.--Goreng dengan api sedang sampai matang, sisihkan(pastikan minyak benar2 panas, agar tahu crispy)--Goreng cabai-duo bawang & daun bawang sampai kekuningan.. angkat, tiriskan.. tumis dengan 1sdt margarine, tambahkan garam & kaldu bubuk.. matikan api.. masukkan tahu & tambahkan garam jika dirasa kurang.. aduk rata. sajikan hangat..--"
Tumis Broccoli Tahu Jepang dengan Saus Tiram,"1 bonggol Brokoli ukuran besar (potong dan cuci)--3 pcs Tahu Jepang (potong ketebalan 1.5 cm)--2 pcs Jamur King Oyster (iris tebal)--5 pcs Bakso Seafood (optional)--5 siung Bawang Putih (cincang)--1 ruas Jahe (kupas dan iris halus)--Garam, lada, gula / vetsin untuk memperkuat rasa--Oyster Sauce / Saus Tiram--Kecap Hitam--Tepung Maizena / Potato Starch (untuk pengental)--","Rebus brokoli selama 2-3 menit. Angkat dan sisihkan. Jangan terlalu lama merebut sayur, karena nanti sayurnya akan menjadi layu, dan vitaminnya akan terbuang.--Panaskan wajan, tunggu sampai minyak benar2 panas. Baru goreng tahu sampai warnanya kecoklatan. Angkat dan sisihkan.--Sisihkan di piring.--Panaskan wajan kembali. Tumis daging / bakso sampai ada gosong2nya sedikit. Ingat kata chef Gordon Ramsay ""No Color, No Flavour"". Hehehe..--Setelah itu masukkan bawang putih dan jahe. Tumis hingga harum.--Masukkan air (saya pakai 300 ml). Tambahkan garam, lada, gula / vetsin, kecap asin hitam, dan saus tiram.--Jika rasanya sudah pas. Tambahkan maizena / potato starch yg sudah dilarutkan dengan air. Aduk sampai konsistensinya kental. (Saya lebih suka memasak menggunakan Potato Starch. Karena saus menjadi tidsk mudah cair, dibandingkan dgn menggunakan maizena).--Setelah itu baru masukkan jamur. Tunggu sampai mendidih sebentar. Sampai jamur matang. Angkat.--Tuang saos diatas brokoli dan tahu jepang yg sudah disusun di piring. Sajikan.--"
Cah sawi hijau tahu putih,"1 ikat sawi hijau, aku beli 2 rb--3 buah tahu putih potong kotak goreng 1/2 mateng--3 buah bawang merah iris--2 siung bawang putih cincang--3 buah cabe m dan rawit m iris tipis--Minyak g secukupnya untuk menumis--1/4 sdt gula pasir--Royco ayam--1/2 sdt Saos tiram dan kecap asin--","Tumis bamer baput, dan cabe. Tambahkan sawi,tahu aduk rata. Masukan saos tiram, kecap asin dan royco gula pasir tambahkan air sedikit, tutup sbentar--Aduk rata. Angkat, sajikan--"
Bakso tahu goreng saus pedas,Bahan bakso tahu--8 buah tahu putih--2 siung bawang putih--1 butir telur--1 sdt merica bubuk--secukupnya Royco ayam--secukupnya Garam--secukupnya Gula--3 sdm tepung terigu--1 sdt baking powder--Bahan saos pedas--4 siung baput--4 siung bamer--1/2 bawang bombay--5 buah cabe merah keriting--15 bua cabe rawit--4 sdm saos tomat--4 sdm saos sambal--1 buah cabe merah iris rencong--1 buah bawang prei--Garam--1 sdm Kecap--secukupnya Gula--Minyak goreng--secukupnya Air--,"Hancurkan tahu,peras airnya hingga airnya habis--Kemudian masukkan bawang putih halus,tepung telur,merica,gula pasir,royco cek rasa ya--Kemudian bentuk bulat2 sesuai selera--Panaskaninyak goreng bakso tahu hingga kecoklatan.angkat sisihkan--Cara membuat saos. Haluskan cabeerah dan bawang putih beri garam sedikit hingga halus.--Kemudian memarkan cabe rawit atau pecah pecah saja..--Panaskan minyak tumis bawang bombay hingga layu masukkan bumbu halus,tumis hingga harum.--Kemudian masukkan saos tomat,kecap,saos sambal sedikit air, masak hingga meletup letup masukkan gula cek rasa kemudian masukka bakso tahu irisan cabe merah,daun bawang masak hingga matang--Selamat mencoba--"
Telur Tahu Kukus Goreng,2 butir telur--3 buah tahu putih--2 tangkai daun bawang--1/2 buah wortel (aku lagi gak ada)--1 siung bawang putih--sedikit lada--secukupnya garam--secukupnya penyedap rasa--,"Haluskan bawang putih dan lada.--Hancurkan tahu dengan garpu.--Potong2 daun bawang. wortel diparut dengan parutan keju.--Kocok telur dengan garpu, tambahkan bumbu halus, garam dan penyedap rasa.--Masukkan tahu, daun bawang dan wortel.--Siapkan wadah tahan kukus kedian olesi dengan minyak goreng agar tidak lengket nanti.--Masukkan telur ke wadah, kukus selama kurang lebih 15menit.--Dinginkan telur, keluarkan dan potong2 sesuai selera.--Kocok 1 butir telur.--Celupkan potongan telur ke kocokan telur lalu goreng hingga kecoklatan.--Angkat.--"
Tumis Tahu Bubuk,8 Tahu Kuning--5 Siung Bawang Merah--4 Siung Bawang Putih--1 Buah Tomat--5 Cabai Rawit--Bawang Daun--Secukupnya Garam--Secukupnya Gula--Secukupnya Lada Putih--,"Tumbuk kasar tahu kuning. Sisihkan.--Tumis bawang merah, bawang putih, cabai rawit dan tomat hingga harum.--Masukan tahu yang sudah dihancurkan. Tambahkan garam, gula, lada putih, bawang daun dan sedikit air. Masak hingga air menyusut dan tahu matang. Sajikan.--"
Tahu Crispy,"bumbu halus--2 siung bawang putih--kunyit--1/4 sdt ketumbar--bahan tepung--6 sdm tepung terigu--1 sdm maizena--secukupnya garam, lada, kaldu jamur--secukupnya air--1 btr telur ayam--tahu potong2 dadu--","Tumbuk bumbu halus, beri air--Potong tahu rendam dalam bumbu min 10mnt--Campur bahan tepung--Gulingkan tahu ke tepung lalu ke telur--Goreng hingga kuning keemasan--"
Sayur tempe mix tahu alaala kari,1/4 tempe dari 1 papan--5 buah tahu--2 keris pete--3 buah wortel ukuran sedang--800 ml Santan--Bumbu:--4 bawang merah--3 bawang putih--3 cm kunyit--2 cm jahe--2 butir kemiri--1/2 sdt ketumbar--1 sdm garam--secukupnya Gula--Penyedap rasa saya pakai royco ayam--Bumbu pelengkap:--3 cm laja--2 lbr daun salam--3 lbr daun jeruk--Minyak untuk menumis bumbu--,"Tempe potong kotak, goreng--Tahu potong serong, goreng--Kupas pete jangan dibelah--Kupas wortel, cuci lalu potong dadu kecil--Siapkan bumbu, cuci lalu haluskan kecuali laja, daun salam dan daun jeruk. Laja geprek aja.--Tumis bumbu sampai layu, masukan geprekan laja, daun salam dan daun jeruk. Beri sedikit air supaya meresap--Masukan santan, biarkan sampai mendidih.--Masukan pete, wortel, tempe dan tahu.--Masukan gula, penyedap. Aduk2, tes rasa--Masak sekitar 10 menit.--"
